"ID","Series","Supplier","Date","Credit To","Grand Total","ID (Items)","Accepted Qty (Items)","Accepted Qty in Stock UOM (Items)","Amount (Items)","Amount (Company Currency) (Items)","Item Name (Items)","Rate (Items)","Rate (Company Currency) (Items)","UOM (Items)","UOM Conversion Factor (Items)","Item (Items)","Item Group (Items)","Payment Amount (Payment Schedule)"
"ACC-PINV-2025-00023","ACC-PINV-.YYYY.-","شركة الصالح","2025-09-16","الدائنين - iHome",7500.0,"fra2k4155d",1.0,1.0,7500.0,7500.0,"Smart Home Conrtol Panel + Amplifier (PW-430)",7500.0,7500.0,"Nos",1.0,"4201","Sound System",7500.0
"ACC-PINV-2025-00022","ACC-PINV-.YYYY.-","شركة الصالح","2025-09-15","الدائنين - iHome",7500.0,"5k6i1aofl4",1.0,1.0,7500.0,7500.0,"Smart Home Conrtol Panel + Amplifier (PW-430)",7500.0,7500.0,"Nos",1.0,"4201","Sound System",7500.0
"ACC-PINV-2025-00021","ACC-PINV-.YYYY.-","شركة الصالح","2025-09-15","الدائنين - iHome",11325.0,"fgc84i9f7g",1.0,1.0,5775.0,5775.0,"Smart Door Lock D01",5775.0,5775.0,"Nos",1.0,"2396","Door Lock",11325.0
"","","","","","","fgc8lv37ge",1.0,1.0,5550.0,5550.0,"MASTER Control Panel + Amplifier MT-BA-425TC",5550.0,5550.0,"No",1.0,"425TC","Sound System",""
"ACC-PINV-2025-00020","ACC-PINV-.YYYY.-","شركة الصالح","2025-08-06","الدائنين - iHome",27305.0,"cp0eifptc9",1.0,1.0,5775.0,5775.0,"Smart Door Lock D01",5775.0,5775.0,"Nos",1.0,"2396","Door Lock",27305.0
"","","","","","","cp0euflr7p",1.0,1.0,5700.0,5700.0,"L03F1 Smart Lock FOR METAL DOOR",5700.0,5700.0,"No",1.0,"2433","Door Lock",""
"","","","","","","cp0eort8i8",7.0,7.0,3080.0,3080.0,"7cm Despa speaker",440.0,440.0,"No",1.0,"DSP3011","Sound System",""
"","","","","","","cp0e5288db",2.0,2.0,3550.0,3550.0,"WiFi Camera Skyworth 360 Panorama Outdoor 3MP FHD SKH-163D4H2-4AWT",1775.0,1775.0,"No",1.0,"LC2308","Cam",""
"","","","","","","cp0emkioph",5.0,5.0,9200.0,9200.0,"MASTER Conrtol Panel + Amplifier MT-BA-225D",1840.0,1840.0,"Nos",1.0,"MT-BA-225D","Sound System",""
"ACC-PINV-2025-00019","ACC-PINV-.YYYY.-","شركة الصالح","2025-07-01","الدائنين - iHome",7875.0,"deknoq0soh",1.0,1.0,7875.0,7875.0,"L03F3 lock FOR METAL DOOR",7875.0,7875.0,"No",1.0,"2660","Door Lock",7875.0
"ACC-PINV-2025-00018","ACC-PINV-.YYYY.-","شركة الصالح","2025-06-02","الدائنين - iHome",267774.9,"c75t80ll2l",3.0,3.0,16200.0,16200.0,"iHost Smart Home Hub",5400.0,5400.0,"Nos",1.0,"1171","Panal",267775.0
"","","","","","","c75tsh1m42",40.0,40.0,35000.0,35000.0,"DUALR3 LITE",875.0,875.0,"Nos",1.0,"1124","Switch",""
"","","","","","","c75tcdlqv1",2.0,2.0,2100.0,2100.0,"Powr320d",1050.0,1050.0,"Nos",1.0,"1032","Switch",""
"","","","","","","c75t28nrh5",2.0,2.0,1680.0,1680.0,"Powr3",840.0,840.0,"Nos",1.0,"1111","Switch",""
"","","","","","","c75tog7ckq",2.0,2.0,2448.0,2448.0,"4Chr3",1224.0,1224.0,"Nos",1.0,"1026","Switch",""
"","","","","","","c75tp4782i",2.0,2.0,11520.0,11520.0,"NS-Panel Pro USB",5760.0,5760.0,"Nos",1.0,"1116","Panal",""
"","","","","","","c75t00rb83",3.0,3.0,4500.0,4500.0,"Sonoff GK-200MP",1500.0,1500.0,"Nos",1.0,"1065","Cam",""
"","","","","","","c75to2me8b",1.0,1.0,1200.0,1200.0,"S-CAM Slim GEN2",1200.0,1200.0,"Nos",1.0,"1125","Cam",""
"","","","","","","c75tb0h3ok",3.0,3.0,3900.0,3900.0,"T5-3C-120",1300.0,1300.0,"Nos",1.0,"1181","Switch",""
"","","","","","","c75t73m12a",1.0,1.0,648.0,648.0,"Wireless FlooDing SenSor",648.0,648.0,"Nos",1.0,"3010","Sensor",""
"","","","","","","c75tq562vq",5.0,5.0,4320.0,4320.0,"SNZB-06P",864.0,864.0,"Nos",1.0,"1250","Zigbee",""
"","","","","","","c75ti5sgit",5.0,5.0,2160.0,2160.0,"Snzb-04(with Battery)",432.0,432.0,"Nos",1.0,"1061","Zigbee",""
"","","","","","","c75thboomu",1.0,1.0,262.5,262.5,"NS-Banel Pro StandW",262.5,262.5,"Nos",1.0,"1107","All Item",""
"","","","","","","c75t2lg906",2.0,2.0,4608.0,4608.0,"CIRCUIT BREAKER 63A-1P",2304.0,2304.0,"Nos",1.0,"2020","Power",""
"","","","","","","c75tsig849",5.0,5.0,3120.0,3120.0,"Universal Remote",624.0,624.0,"Nos",1.0,"2006","Remote",""
"","","","","","","c75tmahmm5",2.0,2.0,19800.0,19800.0,"Lezn i7 CAT EYE Smart Door Lock",9900.0,9900.0,"Nos",1.0,"2383","Door Lock",""
